gvkey,CUSIP,ticker,CIK,CoName,cik_source
36496,03824M10,AMTI,1801777.0,Applied Molecular Transport Inc,cusip_link
50688,02393910,AMTM,2011286.0,Amentum Holdings Inc,cusip_link
162453,00770K20,AMTX,738214.0,AEMETIS INC,cusip_link
12379,03050610,AMWD,794619.0,AMERICAN WOODMARK CORP,cusip_link
36950,03044L20,AMWL,1393584.0,American Well Corp,cusip_link
160874,02554F30,AMZG,1282613.0,AMERICAN EAGLE ENERGY CORP,cusip_link
64768,02313510,AMZN,1018724.0,AMAZON COM INC,cusip_link
9063,05329W10,AN,350698.0,AUTONATION INC /FL,cusip_link
26162,03272410,ANAB,1370053.0,ANAPTYSBIO INC,cusip_link
179438,03242010,ANAC,,,not_found
31743,03251510,ANAD,940332.0,ANADIGICS INC,cusip_link
165785,02505A20,ANCI,1316645.0,AMERICAN CARESOURCE HOLDINGS INC,cusip_link
1659,03416410,ANDE,821026.0,ANDERSONS INC,cusip_link
157414,03252Q40,ANDS,1128495.0,ANADYS PHARMACEUTICALS INC,cusip_link
38706,03456910,ANEB,1815974.0,Anebulo Pharmaceuticals Inc,cusip_link
1635,03274410,ANEN,6314.0,ANAREN MICROWAVE INC,cusip_link
20748,04041320,ANET,1596532.0,"Arista Networks, Inc.",ticker_fallback
63643,00289620,ANF,1018840.0,ABERCROMBIE & FITCH CO /DE/,cusip_link
188155,03475410,ANGI,1491778.0,ANGIE'S LIST INC,cusip_link
20307,28657F10,ANGN,1601485.0,Elicio Therapeutics Inc,cusip_link
14581,55276810,ANGN,,,not_found
264387,03475V10,ANGO,1275187.0,ANGIODYNAMICS INC,cusip_link
28209,03525510,ANIK,898437.0,ANIKA THERAPEUTICS INC,cusip_link
18204,00182C10,ANIP,1023024.0,ANI PHARMACEUTICALS INC,cusip_link
1634,03268120,ANLY,6292.0,ANALYSTS INTERNATIONAL CORP,cusip_link
21828,03562310,ANN,874214.0,ANN INC,cusip_link
36768,03589W10,ANNX,1528115.0,Annexon Inc,cusip_link
162448,02076X10,ANR,1301063.0,ALPHA NATURAL RESOURCES INC,cusip_link
43837,02157Q10,ANRO,1999480.0,Alto Neuroscience Inc,cusip_link
63080,03662Q10,ANSS,1013462.0,ANSYS INC,cusip_link
160447,03662X10,ANSW,1283073.0,ANSWERS CORP,cusip_link
183879,03674U30,ANTH,1316175.0,Anthera Pharmaceuticals Inc,cusip_link
6308,71722R10,ANTP,,,not_found
40833,03732610,ANTX,1880438.0,AN2 Therapeutics Inc,cusip_link
35416,03615A10,ANVS,1477845.0,Annovis Bio Inc,cusip_link
183920,00184X10,AOL,1468516.0,AOL Inc,cusip_link
38095,02871910,AONC,1839998.0,American Oncology Network Inc,cusip_link
180636,03739T10,AONE,1167178.0,A123 SYSTEMS INC,cusip_link
9771,83186520,AOS,91142.0,SMITH A O CORP,ticker_fallback
36826,02875D10,AOUT,1808997.0,American Outdoor Brands Inc,cusip_link
1613,03203710,AP,6176.0,AMPCO PITTSBURGH CORP,cusip_link
1678,03743Q10,APA,1841666.0,APA Corp,cusip_link
61407,00185E10,APAC,949297.0,APAC CUSTOMER SERVICE INC,cusip_link
11923,03251110,APC,773910.0,ANADARKO PETROLEUM CORP,cusip_link
